Index,Name,Unprescaled,335b_AllMB,335b_AllMB_UPC40k
399,L1_SingleUncorrJet12_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
400,L1_SingleUncorrJet16_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
401,L1_SingleUncorrJet20_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
402,L1_SingleUncorrJet24_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
403,L1_SingleUncorrJet28_NotMinimumBiasHF2_AND_BptxAND ,1,0,0
404,L1_ZDC1n_Bkp3_AsymXOR_MinimumBiasHF1_AND_BptxAND ,1,0,0
405,L1_ZDC1n_Bkp3_XOR_MinimumBiasHF2_AND_BptxAND ,1,0,0
406,L1_SingleIsoEG24er2p1 ,1,0,0
407,L1_SingleIsoEG26er2p1 ,1,0,0
408,L1_SingleIsoEG26er2p5 ,1,0,0
409,L1_SingleIsoEG28er2p1 ,1,0,0
410,L1_SingleIsoEG28er2p5 ,1,0,0
411,L1_SingleIsoEG30er2p1 ,1,0,0
412,L1_ZDC1n_Bkp3_AsymXOR_MinimumBiasHF2_AND_BptxAND ,1,0,0
413,L1_SingleUncorrJet2_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
414,L1_SingleUncorrJet4_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
415,L1_SingleUncorrJet6_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
416,L1_SingleUncorrJet8_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
417,L1_SingleUncorrJet12_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
418,L1_SingleUncorrJet16_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
419,L1_SingleUncorrJet20_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
420,L1_SingleUncorrJet24_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
421,L1_SingleUncorrJet28_ZDC1n_Bkp1_OR_BptxAND ,1,0,0
422,L1_SingleUncorrJet2_ZDC1n_XOR_BptxAND ,1,0,0
423,L1_SingleUncorrJet4_ZDC1n_XOR_BptxAND ,1,0,0
424,L1_SingleUncorrJet6_ZDC1n_XOR_BptxAND ,1,0,0
425,L1_SingleUncorrJet8_ZDC1n_XOR_BptxAND ,1,0,0
426,L1_SingleUncorrJet12_ZDC1n_XOR_BptxAND ,1,0,0
427,L1_SingleUncorrJet16_ZDC1n_XOR_BptxAND ,1,0,0
