Index,Name,Emergency,HighZeroBias,HighZeroBias_NoMuShowers,HalfZeroBias,OnlyPhysics,HighRandom,HighRandom_NoMuShowers
324,L1_SingleUncorrJet6_ZDC1nOR,0,0,0,0,0,0,0
325,L1_SingleUncorrJet8_ZDC1nOR,0,0,0,0,0,0,0
326,L1_SingleUncorrJet12_ZDC1nOR,0,0,0,0,0,0,0
327,L1_SingleUncorrJet16_ZDC1nOR,0,0,0,0,0,0,0
328,L1_SingleUncorrJet20_ZDC1nOR,0,0,0,0,0,0,0
329,L1_SingleUncorrJet24_ZDC1nOR,0,0,0,0,0,0,0
330,L1_SingleUncorrJet28_ZDC1nOR,0,0,0,0,0,0,0
331,L1_SingleUncorrJet2_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
332,L1_SingleUncorrJet4_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
333,L1_SingleUncorrJet6_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
334,L1_SingleUncorrJet8_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
335,L1_SingleUncorrJet12_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
336,L1_SingleUncorrJet16_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
337,L1_SingleUncorrJet20_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
338,L1_SingleUncorrJet24_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
339,L1_SingleUncorrJet28_ZDC1nOR_Bkp1,0,0,0,0,0,0,0
340,L1_SingleUncorrJet2_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
341,L1_SingleUncorrJet4_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
342,L1_SingleUncorrJet6_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
343,L1_SingleUncorrJet8_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
344,L1_SingleUncorrJet12_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
345,L1_SingleUncorrJet16_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
346,L1_SingleUncorrJet20_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
347,L1_SingleUncorrJet24_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
348,L1_SingleUncorrJet28_ZDC1nOR_Bkp2,0,0,0,0,0,0,0
349,L1_SingleUncorrJet2_ZDC1n_AsymXOR,0,0,0,0,0,0,0
350,L1_SingleUncorrJet4_ZDC1n_AsymXOR,0,0,0,0,0,0,0
351,L1_SingleUncorrJet6_ZDC1n_AsymXOR,0,0,0,0,0,0,0
352,L1_SingleUncorrJet8_ZDC1n_AsymXOR,0,0,0,0,0,0,0
353,L1_SingleUncorrJet12_ZDC1n_AsymXOR,0,0,0,0,0,0,0
354,L1_SingleUncorrJet16_ZDC1n_AsymXOR,0,0,0,0,0,0,0
355,L1_SingleUncorrJet28_ZDC1n_AsymXOR,0,0,0,0,0,0,0
356,L1_SingleUncorrJet20_ZDC1n_AsymXOR,0,0,0,0,0,0,0
357,L1_SingleUncorrJet24_ZDC1n_AsymXOR,0,0,0,0,0,0,0
