Index,Name,Unprescaled
405,L1_DoubleJet120er2p5,1
406,L1_QuadJet60er2p5,1
407,L1_SingleMuOpen_er1p1_NotBptxOR_3BX,1
408,L1_SingleMuOpen_er1p4_NotBptxOR_3BX,1
409,L1_SingleMuOpen_NotBptxOR,1
410,L1_SingleMuCosmic_BptxAND,1
411,L1_SingleMuOpen_BptxAND,1
412,L1_SingleMu0_BptxAND,1
413,L1_SingleMu3_BptxAND,1
414,L1_SingleMu5_BptxAND,1
415,L1_SingleMu7_BptxAND,1
416,L1_SingleMuOpen_Centrality_30_100_BptxAND,1
417,L1_SingleMuOpen_Centrality_40_100_BptxAND,1
418,L1_SingleMuOpen_Centrality_50_100_BptxAND,1
419,L1_SingleMuOpen_OR_SingleMuCosmic_EMTF_BptxAND,1
420,L1_SingleMuOpen_SingleEG15_BptxAND,1
421,L1_SingleMu3_SingleEG12_BptxAND,1
422,L1_SingleMu5_SingleEG15_BptxAND,1
423,L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND,1
424,L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND,1
425,L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND,1
426,L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND,1
427,L1_SingleMu3_SingleJet28_MidEta2p7_BptxAND,1
428,L1_SingleMu3_SingleJet32_MidEta2p7_BptxAND,1
429,L1_SingleMu3_SingleJet40_MidEta2p7_BptxAND,1
430,L1_SingleMuShower_Nominal_BptxAND,1
431,L1_SingleMuShower_Tight_BptxAND,1
432,L1_SingleMuShower_Nominal,1
433,L1_SingleMuShower_Tight,1
434,L1_SingleMuCosmics_BMTF,1
435,L1_SingleMu0_BMTF,1
436,L1_SingleMu22_BMTF,1
437,L1_SingleMuCosmics_EMTF,1
438,L1_SingleMu0_EMTF,1
439,L1_SingleMu22_EMTF,1
440,L1_SingleMuCosmics_OMTF,1
441,L1_SingleMu0_OMTF,1
442,L1_SingleMu22_OMTF,1
443,L1_SingleMu0_Centrality_30_100_BptxAND,1
444,L1_SingleMu0_Centrality_40_100_BptxAND,1
445,L1_SingleMu0_Upt10,1
446,L1_SingleMu0_Upt10_BMTF,1
447,L1_SingleMu0_Upt10_EMTF,1
448,L1_SingleMu0_Upt10_OMTF,1
449,L1_SingleMuOpen,1
450,L1_SingleMuCosmics,1
451,L1_SingleMu3,1
452,L1_SingleMu5,1
453,L1_SingleMu7,1
454,L1_SingleMu18,1
455,L1_SingleMu20,1
456,L1_SingleMu22,1
457,L1_SingleMu25,1
