Index,Name,Emergency,SuperSafe,HighRandoms,OnlyRandoms,TrackerTest,AllMB,AllMB_ExtraUPC2kHz,AllMB_ExtraUPC2kHz_ZB5kHz,AllMB_ExtraUPC3kHz,AllMB_ExtraUPC3kHz_ZB5kHz,AllMB_ExtraUPC4kHz,AllMB_ExtraUPC4kHz_ZB5kHz,AllMB_ExtraUPC5kHz,AllMB_ExtraUPC5kHz_ZB5kHz,AllMB_ExtraUPC6kHz,AllMB_ExtraUPC7kHz,AllMB_ExtraUPC8kHz,AllMB_ExtraUPC9kHz,AllMB_ExtraUPC10kHz,AllMB_ExtraUPC12kHz,AllMB_ExtraUPC14kHz,AllMB_ExtraUPC16kHz,AllMB_ExtraUPC18kHz,AllMB_ExtraUPC20kHz,AllMB_ExtraUPC22kHz,AllMB_ExtraUPC24kHz,AllMB_ExtraUPC26kHz,AllMB_ExtraUPC28kHz,AllMB_ExtraUPC30kHz,AllMB_ExtraUPC32kHz,AllMB_ExtraUPC34kHz,AllMB_ExtraUPC38kHz,AllMB_ExtraUPC42kHz,AllMB_ExtraUPC46kHz,AllMB_ExtraUPC50kHz,AllMB_ExtraUPC54kHz,AllMB_ExtraUPC58kHz,AllMB_ExtraUPC62kHz,AllMB_ExtraUPC66kHz,AllMB_ExtraUPC70kHz,AllMB_ExtraUPC74kHz,AllMB_ExtraUPC78kHz
72,L1_DoubleJet16_DeltaPhi2p0_ZDC1n_OR_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,L1_DoubleJet12_DeltaPhi2p0_ZDC1n_OR_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,L1_DoubleJet8_DeltaPhi2p0_ZDC1n_OR_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,L1_DoubleJet8_DeltaPhi2p0_notMinimumBiasHF2_BptxAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,L1_SingleJet8erHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,L1_SingleJet10erHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,L1_SingleJet12erHE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,L1_SingleJet35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,L1_SingleJet35er2p5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,L1_SingleJet35_FWD3p0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
